#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CG12325	CG5728	3232662	3230983	7227.FBpp0087322	7227.FBpp0084016	0	0	0	0	0.949	0.763	0.900	0.846	0.999
CG12325	CG13097	3232662	3228527	7227.FBpp0087322	7227.FBpp0079305	0	0	0	0	0.893	0.868	0.900	0.867	0.999
CG12050	CG9799	3234323	3230047	7227.FBpp0113107	7227.FBpp0082231	0	0	0	0	0.908	0.799	0.900	0.792	0.999
CG8545	nop5	3232509	3228392	7227.FBpp0087045	7227.FBpp0078997	0	0	0	0	0.994	0.819	0	0.662	0.999
Nop60B	Fib	3233535	3224793	7227.FBpp0099583	7227.FBpp0071892	0	0	0	0	0.978	0.705	0.540	0.836	0.999
CG12325	CG9799	3232662	3230047	7227.FBpp0087322	7227.FBpp0082231	0	0	0	0.541	0.931	0.994	0.900	0.879	0.999
CG12325	CG7728	3232662	3226390	7227.FBpp0087322	7227.FBpp0075034	0	0	0	0	0.919	0.864	0.900	0.674	0.999
CG1542	CG32409	3231566	3227244	7227.FBpp0085119	7227.FBpp0076738	0	0	0	0	0.984	0.759	0.540	0.801	0.999
CG9253	nop5	3229393	3228392	7227.FBpp0080997	7227.FBpp0078997	0.055	0	0	0	0.993	0.675	0.900	0.111	0.999
NHP2	nop5	3237470	3228392	7227.FBpp0305289	7227.FBpp0078997	0	0	0.271	0	0.992	0.338	0.540	0.918	0.999
Nop56	Fib	3230765	3224793	7227.FBpp0083625	7227.FBpp0071892	0	0	0	0	0.995	0.758	0.900	0.966	0.999
l(1)G0004	Rtc1	3227373	3225685	7227.FBpp0076990	7227.FBpp0073651	0	0	0	0	0.908	0.799	0.900	0.824	0.999
Nopp140	Nop56	3237391	3230765	7227.FBpp0305034	7227.FBpp0083625	0	0	0	0	0.984	0.716	0	0.796	0.999
CG5728	CG13097	3230983	3228527	7227.FBpp0084016	7227.FBpp0079305	0	0	0	0	0.918	0.808	0.900	0.842	0.999
RpI1	CG13773	3232310	3228394	7227.FBpp0086640	7227.FBpp0079000	0	0	0	0	0.873	0.867	0.900	0.747	0.999
CG12325	nop5	3232662	3228392	7227.FBpp0087322	7227.FBpp0078997	0	0	0	0	0.954	0.864	0.900	0.857	0.999
Nop60B	nop5	3233535	3228392	7227.FBpp0099583	7227.FBpp0078997	0.168	0	0	0	0.996	0.768	0.540	0.961	0.999
CG13097	nop5	3228527	3228392	7227.FBpp0079305	7227.FBpp0078997	0	0	0	0	0.910	0.868	0.900	0.768	0.999
CG5033	nop5	3233132	3228392	7227.FBpp0088519	7227.FBpp0078997	0	0	0	0	0.988	0.818	0	0.615	0.999
CG7338	l(1)G0004	3227894	3227373	7227.FBpp0077998	7227.FBpp0076990	0	0	0	0	0.886	0.863	0.900	0.868	0.999
l(1)G0004	CG7728	3227373	3226390	7227.FBpp0076990	7227.FBpp0075034	0	0	0	0	0.876	0.833	0.900	0.850	0.999
CG8545	pit	3232509	3230741	7227.FBpp0087045	7227.FBpp0083572	0	0	0	0	0.985	0.906	0	0.549	0.999
CG12050	Nop56	3234323	3230765	7227.FBpp0113107	7227.FBpp0083625	0	0	0	0	0.902	0.799	0.900	0.773	0.999
CG5033	Nnp-1	3233132	3228921	7227.FBpp0088519	7227.FBpp0080052	0	0	0	0	0.983	0.931	0.540	0.736	0.999
CG7728	CG4554	3226390	3224719	7227.FBpp0075034	7227.FBpp0071744	0	0	0	0	0.906	0.613	0.900	0.860	0.999
Nop56	pit	3230765	3230741	7227.FBpp0083625	7227.FBpp0083572	0.055	0	0	0	0.996	0.484	0	0.573	0.999
CG1542	CG11583	3231566	3225400	7227.FBpp0085119	7227.FBpp0073098	0	0	0	0	0.962	0.862	0	0.855	0.999
CG9799	CG4554	3230047	3224719	7227.FBpp0082231	7227.FBpp0071744	0	0	0	0	0.894	0.613	0.900	0.846	0.999
CG5728	CG5589	3230983	3226341	7227.FBpp0084016	7227.FBpp0074936	0	0	0	0	0.914	0.268	0.900	0.864	0.999
CG7728	Rtc1	3226390	3225685	7227.FBpp0075034	7227.FBpp0073651	0	0	0	0	0.423	0.864	0.900	0.889	0.999
CG12325	Rtc1	3232662	3225685	7227.FBpp0087322	7227.FBpp0073651	0	0	0	0	0.836	0.832	0.900	0.722	0.999
CG30349	CG9799	3232826	3230047	7227.FBpp0087731	7227.FBpp0082231	0	0	0	0	0.952	0.808	0.900	0.832	0.999
CG12050	CG5728	3234323	3230983	7227.FBpp0113107	7227.FBpp0084016	0	0	0	0	0.925	0.808	0.900	0.671	0.999
Nop56	CG13097	3230765	3228527	7227.FBpp0083625	7227.FBpp0079305	0	0	0	0	0.889	0.868	0.900	0.820	0.999
CG12050	nop5	3234323	3228392	7227.FBpp0113107	7227.FBpp0078997	0	0	0	0	0.936	0.864	0.900	0.313	0.999
nop5	CG7728	3228392	3226390	7227.FBpp0078997	7227.FBpp0075034	0	0	0	0	0.941	0.864	0.900	0.648	0.999
Nop56	CG9799	3230765	3230047	7227.FBpp0083625	7227.FBpp0082231	0	0	0	0	0.974	0.865	0.900	0.687	0.999
CG30349	CG5728	3232826	3230983	7227.FBpp0087731	7227.FBpp0084016	0	0	0	0	0.953	0.673	0.900	0.458	0.999
CG5728	CG9799	3230983	3230047	7227.FBpp0084016	7227.FBpp0082231	0	0	0	0	0.940	0.703	0.900	0.696	0.999
CG30349	CG12325	3232826	3232662	7227.FBpp0087731	7227.FBpp0087322	0	0	0	0	0.921	0.595	0.900	0.733	0.999
CG30349	CG7728	3232826	3226390	7227.FBpp0087731	7227.FBpp0075034	0	0	0	0	0.953	0.595	0.900	0.653	0.999
CG12301	CG7728	3226533	3226390	7227.FBpp0075317	7227.FBpp0075034	0.280	0	0	0	0.921	0.799	0.900	0.417	0.999
NHP2	Nop60B	3237470	3233535	7227.FBpp0305289	7227.FBpp0099583	0.127	0	0	0	0.983	0.827	0.540	0.964	0.999
CG5033	Nop56	3233132	3230765	7227.FBpp0088519	7227.FBpp0083625	0	0	0	0	0.994	0.692	0	0.687	0.999
CG13097	CG7728	3228527	3226390	7227.FBpp0079305	7227.FBpp0075034	0	0	0	0	0.926	0.860	0.900	0.852	0.999
CG12050	CG12325	3234323	3232662	7227.FBpp0113107	7227.FBpp0087322	0	0	0	0	0.905	0.861	0.900	0.663	0.999
CG9799	CG13097	3230047	3228527	7227.FBpp0082231	7227.FBpp0079305	0	0	0	0	0.883	0.866	0.900	0.718	0.999
RIOK2	l(1)G0004	3231069	3227373	7227.FBpp0084191	7227.FBpp0076990	0	0	0	0	0.872	0.862	0.900	0.884	0.999
CG30349	Nop56	3232826	3230765	7227.FBpp0087731	7227.FBpp0083625	0	0	0	0	0.993	0.595	0.900	0.730	0.999
CG5033	CG8939	3233132	3225845	7227.FBpp0088519	7227.FBpp0073943	0	0	0	0	0.984	0.719	0.540	0.615	0.999
CG5728	CG7338	3230983	3227894	7227.FBpp0084016	7227.FBpp0077998	0	0	0	0	0.984	0	0.900	0.716	0.999
Nop60B	Nop56	3233535	3230765	7227.FBpp0099583	7227.FBpp0083625	0.168	0	0	0	0.994	0.820	0.540	0.933	0.999
CG5728	Nop56	3230983	3230765	7227.FBpp0084016	7227.FBpp0083625	0	0	0	0	0.981	0.703	0.900	0.742	0.999
